# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531600
# River:                 WHITE VOLTA
# Station:               YARUGU
# Country:               GH
# Latitude (DD):       10.98
# Longitude (DD):      -0.4
# Catchment area (km²):      41550.0
# Altitude (m ASL):        170.0
# Next downstream station:      1531550
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 2007
# No. of years:          42
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 492
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1991-05-01;--:--;   -999.000;   -999.000;   0
1991-06-01;--:--;   -999.000;   -999.000;   0
1991-07-01;--:--;   -999.000;   -999.000;   0
1991-08-01;--:--;   -999.000;   -999.000;   0
1991-09-01;--:--;   -999.000;   -999.000;   0
1991-10-01;--:--;   -999.000;   -999.000;   0
1991-11-01;--:--;   -999.000;   -999.000;   0
1991-12-01;--:--;   -999.000;   -999.000;   0
1992-01-01;--:--;   -999.000;   -999.000;   0
1992-02-01;--:--;   -999.000;   -999.000;   0
1992-03-01;--:--;   -999.000;   -999.000;   0
1992-04-01;--:--;   -999.000;   -999.000;   0
1992-05-01;--:--;   -999.000;   -999.000;   0
1992-06-01;--:--;   -999.000;   -999.000;   0
1992-07-01;--:--;   -999.000;   -999.000;   0
1992-08-01;--:--;   -999.000;   -999.000;   0
1992-09-01;--:--;   -999.000;   -999.000;   0
1992-10-01;--:--;   -999.000;   -999.000;   0
1992-11-01;--:--;   -999.000;   -999.000;   0
1992-12-01;--:--;   -999.000;   -999.000;   0
1993-01-01;--:--;   -999.000;   -999.000;   0
1993-02-01;--:--;   -999.000;   -999.000;   0
1993-03-01;--:--;   -999.000;   -999.000;   0
1993-04-01;--:--;   -999.000;   -999.000;   0
1993-05-01;--:--;   -999.000;   -999.000;   0
1993-06-01;--:--;   -999.000;   -999.000;   0
1993-07-01;--:--;   -999.000;   -999.000;   0
1993-08-01;--:--;   -999.000;   -999.000;   0
1993-09-01;--:--;   -999.000;   -999.000;   0
1993-10-01;--:--;   -999.000;   -999.000;   0
1993-11-01;--:--;   -999.000;   -999.000;   0
1993-12-01;--:--;   -999.000;   -999.000;   0
1994-01-01;--:--;   -999.000;   -999.000;   0
1994-02-01;--:--;   -999.000;   -999.000;   0
1994-03-01;--:--;   -999.000;   -999.000;   0
1994-04-01;--:--;   -999.000;   -999.000;   0
1994-05-01;--:--;   -999.000;   -999.000;   0
1994-06-01;--:--;   -999.000;   -999.000;   0
1994-07-01;--:--;   -999.000;   -999.000;   0
1994-08-01;--:--;   -999.000;   -999.000;   0
1994-09-01;--:--;   -999.000;   -999.000;   0
1994-10-01;--:--;   -999.000;   -999.000;   0
1994-11-01;--:--;   -999.000;   -999.000;   0
1994-12-01;--:--;   -999.000;   -999.000;   0
1995-01-01;--:--;   -999.000;   -999.000;   0
1995-02-01;--:--;   -999.000;   -999.000;   0
1995-03-01;--:--;   -999.000;   -999.000;   0
1995-04-01;--:--;   -999.000;   -999.000;   0
1995-05-01;--:--;   -999.000;   -999.000;   0
1995-06-01;--:--;   -999.000;   -999.000;   0
1995-07-01;--:--;   -999.000;   -999.000;   0
1995-08-01;--:--;   -999.000;   -999.000;   0
1995-09-01;--:--;   -999.000;   -999.000;   0
1995-10-01;--:--;   -999.000;   -999.000;   0
1995-11-01;--:--;   -999.000;   -999.000;   0
1995-12-01;--:--;   -999.000;   -999.000;   0
1996-01-01;--:--;   -999.000;   -999.000;   0
1996-02-01;--:--;   -999.000;   -999.000;   0
1996-03-01;--:--;   -999.000;   -999.000;   0
1996-04-01;--:--;   -999.000;   -999.000;   0
1996-05-01;--:--;   -999.000;   -999.000;   0
1996-06-01;--:--;   -999.000;   -999.000;   0
1996-07-01;--:--;   -999.000;   -999.000;   0
1996-08-01;--:--;   -999.000;   -999.000;   0
1996-09-01;--:--;   -999.000;   -999.000;   0
1996-10-01;--:--;   -999.000;   -999.000;   0
1996-11-01;--:--;   -999.000;   -999.000;   0
1996-12-01;--:--;   -999.000;   -999.000;   0
1997-01-01;--:--;   -999.000;   -999.000;   0
1997-02-01;--:--;   -999.000;   -999.000;   0
1997-03-01;--:--;   -999.000;   -999.000;   0
1997-04-01;--:--;   -999.000;   -999.000;   0
1997-05-01;--:--;   -999.000;   -999.000;   0
