# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531300
# River:                 PRU
# Station:               PRANG
# Country:               GH
# Latitude (DD):       7.9833
# Longitude (DD):      -0.8833
# Catchment area (km²):      6355.0
# Altitude (m ASL):        41.43
# Next downstream station:      1531700
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1957 - 2007
# No. of years:          51
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 598
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1962-08-01;--:--;     13.000;   -999.000;   0
1962-09-01;--:--;      7.000;   -999.000;   0
1962-10-01;--:--;     27.000;   -999.000;   0
1962-11-01;--:--;     26.000;   -999.000;   0
1962-12-01;--:--;      5.000;   -999.000;   0
1963-01-01;--:--;      1.000;   -999.000;   0
1963-02-01;--:--;      0.000;   -999.000;   0
1963-03-01;--:--;      1.000;   -999.000;   0
1963-04-01;--:--;      1.000;   -999.000;   0
1963-05-01;--:--;      3.000;   -999.000;   0
1963-06-01;--:--;      5.000;   -999.000;   0
1963-07-01;--:--;     88.000;   -999.000;   0
1963-08-01;--:--;    263.000;   -999.000;   0
1963-09-01;--:--;    233.000;   -999.000;   0
1963-10-01;--:--;    773.000;   -999.000;   0
1963-11-01;--:--;    340.000;   -999.000;   0
1963-12-01;--:--;     13.000;   -999.000;   0
1964-01-01;--:--;      4.000;   -999.000;   0
1964-02-01;--:--;      1.000;   -999.000;   0
1964-03-01;--:--;      1.000;   -999.000;   0
1964-04-01;--:--;      4.000;   -999.000;   0
1964-05-01;--:--;      3.000;   -999.000;   0
1964-06-01;--:--;     19.000;   -999.000;   0
1964-07-01;--:--;     21.000;   -999.000;   0
1964-08-01;--:--;      3.000;   -999.000;   0
1964-09-01;--:--;     31.000;   -999.000;   0
1964-10-01;--:--;     76.000;   -999.000;   0
1964-11-01;--:--;     14.000;   -999.000;   0
1964-12-01;--:--;      0.000;   -999.000;   0
1965-01-01;--:--;      0.000;   -999.000;   0
1965-02-01;--:--;      0.000;   -999.000;   0
1965-03-01;--:--;      1.000;   -999.000;   0
1965-04-01;--:--;      1.000;   -999.000;   0
1965-05-01;--:--;      6.000;   -999.000;   0
1965-06-01;--:--;     74.000;   -999.000;   0
1965-07-01;--:--;    150.000;   -999.000;   0
1965-08-01;--:--;     20.000;   -999.000;   0
1965-09-01;--:--;     42.000;   -999.000;   0
1965-10-01;--:--;     76.000;   -999.000;   0
1965-11-01;--:--;     18.000;   -999.000;   0
1965-12-01;--:--;      2.000;   -999.000;   0
1966-01-01;--:--;      2.000;   -999.000;   0
1966-02-01;--:--;      1.000;   -999.000;   0
1966-03-01;--:--;      0.000;   -999.000;   0
1966-04-01;--:--;      2.000;   -999.000;   0
1966-05-01;--:--;      2.000;   -999.000;   0
1966-06-01;--:--;     19.000;   -999.000;   0
1966-07-01;--:--;     54.000;   -999.000;   0
1966-08-01;--:--;     70.000;   -999.000;   0
1966-09-01;--:--;     65.000;   -999.000;   0
1966-10-01;--:--;    167.000;   -999.000;   0
1966-11-01;--:--;     44.000;   -999.000;   0
1966-12-01;--:--;      6.000;   -999.000;   0
