system:index,date,rainfall_mm,.geo
19810508,1981-05-08,5.38690803275504,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810509,1981-05-09,6.177019751545635,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810510,1981-05-10,9.718991524937376,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810511,1981-05-11,6.192070712532905,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810512,1981-05-12,1.551481582627753,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810513,1981-05-13,0.884289507421809,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810514,1981-05-14,0.41593952880866875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810515,1981-05-15,1.334067115806527,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810516,1981-05-16,4.413961516920815,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810517,1981-05-17,4.271866531618851,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810518,1981-05-18,4.031478441481352,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810519,1981-05-19,3.584941627642889,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810520,1981-05-20,1.9308218289492718,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810521,1981-05-21,3.9092152327708116,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810522,1981-05-22,5.995832343395106,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810523,1981-05-23,3.0852470635006735,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810524,1981-05-24,2.461997807054421,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810525,1981-05-25,4.82866900240658,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810526,1981-05-26,5.701441000207834,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810527,1981-05-27,3.5489986370600333,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810528,1981-05-28,6.715742198574352,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810529,1981-05-29,1.1721549145840962,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810530,1981-05-30,7.33126791292875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810531,1981-05-31,6.940389160166227,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810601,1981-06-01,1.1499961558862675,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810602,1981-06-02,0.6756143324321296,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810603,1981-06-03,3.1146746018183102,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810604,1981-06-04,1.0739729629206431,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810605,1981-06-05,1.3214650667357573,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810606,1981-06-06,0.860090649571039,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810607,1981-06-07,5.020021022078476,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810608,1981-06-08,3.9000913367360996,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810609,1981-06-09,1.2248103460541404,"{""type"":""MultiPoint"",""coordinates"":[]}"
